nodeId:ID,name,level,:LABEL
652325,奇台县,District,District
652327,吉木萨尔县,District,District
652328,木垒哈萨克自治县,District,District
652700,博尔塔拉蒙古自治州,City,City
652701,博乐市,District,District
652702,阿拉山口市,District,District
652722,精河县,District,District
652723,温泉县,District,District
652800,巴音郭楞蒙古自治州,City,City
652801,库尔勒市,District,District
652822,轮台县,District,District
652823,尉犁县,District,District
652824,若羌县,District,District
652825,且末县,District,District
652826,焉耆回族自治县,District,District
652827,和静县,District,District
652828,和硕县,District,District
652829,博湖县,District,District
652900,阿克苏地区,City,City
652901,阿克苏市,District,District
652902,库车市,District,District
652922,温宿县,District,District
652924,沙雅县,District,District
652925,新和县,District,District
652926,拜城县,District,District
652927,乌什县,District,District
652928,阿瓦提县,District,District
652929,柯坪县,District,District
653000,克孜勒苏柯尔克孜自治州,City,City
653001,阿图什市,District,District
653022,阿克陶县,District,District
653023,阿合奇县,District,District
653024,乌恰县,District,District
653100,喀什地区,City,City
653101,喀什市,District,District
653121,疏附县,District,District
653122,疏勒县,District,District
653123,英吉沙县,District,District
653124,泽普县,District,District
653125,莎车县,District,District
653126,叶城县,District,District
653127,麦盖提县,District,District
653128,岳普湖县,District,District
653129,伽师县,District,District
653130,巴楚县,District,District
653131,塔什库尔干塔吉克自治县,District,District
653200,和田地区,City,City
653201,和田市,District,District
653221,和田县,District,District
653222,墨玉县,District,District
653223,皮山县,District,District
653224,洛浦县,District,District
653225,策勒县,District,District
653226,于田县,District,District
653227,民丰县,District,District
654000,伊犁哈萨克自治州,City,City
654002,伊宁市,District,District
654003,奎屯市,District,District
654004,霍尔果斯市,District,District
654021,伊宁县,District,District
654022,察布查尔锡伯自治县,District,District
654023,霍城县,District,District
654024,巩留县,District,District
654025,新源县,District,District
654026,昭苏县,District,District
654027,特克斯县,District,District
654028,尼勒克县,District,District
654200,塔城地区,City,City
654201,塔城市,District,District
654202,乌苏市,District,District
654221,额敏县,District,District
654223,沙湾县,District,District
654224,托里县,District,District
654225,裕民县,District,District
654226,和布克赛尔蒙古自治县,District,District
654300,阿勒泰地区,City,City
654301,阿勒泰市,District,District
654321,布尔津县,District,District
654322,富蕴县,District,District
654323,福海县,District,District
654324,哈巴河县,District,District
654325,青河县,District,District
654326,吉木乃县,District,District
659001,石河子市,City,City
659002,阿拉尔市,City,City
659003,图木舒克市,City,City
659004,五家渠市,City,City
659005,北屯市,City,City
659006,铁门关市,City,City
659007,双河市,City,City
659008,可克达拉市,City,City
659009,昆玉市,City,City
659010,胡杨河市,City,City
710000,台湾省,Province,Province
810000,香港特别行政区,Province,Province
820000,澳门特别行政区,Province,Province
